feature,importance
MFCC_9,0.14429594760535405
MFCC_0,0.11673418244079783
MFCC_3,0.10411270100153432
spectral_rolloff,0.07855505776358182
MFCC_8,0.07706640526382263
spectral_centroid,0.05634284176263783
vib_mean,0.0527598150528614
MFCC_2,0.048575195564013754
MFCC_12,0.04433529349496115
MFCC_1,0.043504682007852076
MFCC_5,0.04266430203018084
spectral_bandwidth,0.03922092825809626
MFCC_4,0.031199718159521835
MFCC_7,0.0277153459694608
MFCC_11,0.027645218088137302
MFCC_6,0.02582579500229038
MFCC_10,0.021738505308853066
vib_variance,0.017708065226042676
