feature,importance
spectral_centroid,0.09853152
zero_crossing_rate,0.053386528
MFCC_0,0.052451037
rms_energy,0.052215
MFCC_2,0.04579505
vib_mean,0.043406297
MFCC_4,0.04273989
spectral_flatness,0.04204482
MFCC_11,0.040225547
MFCC_8,0.03845339
MFCC_3,0.036972634
spectral_bandwidth,0.03688891
spectral_rolloff,0.03667141
MFCC_7,0.035998147
MFCC_10,0.03546561
MFCC_1,0.035131812
MFCC_12,0.034741756
vib_peak_to_peak,0.032972783
vib_rms,0.03289886
vib_std,0.03040399
vib_min,0.030003546
MFCC_5,0.029993707
MFCC_9,0.028156307
MFCC_6,0.028103814
vib_max,0.026347589
